OBJECTID,CSA2010,paa10,paa15,paa16,paa17,paa18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,88.166738607634,86.865671641791,87.4098757952136,90.28458687,88.7134005588628,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,78.8649706457926,78.0781905332534,78.6629842079173,75.31924427,76.6720171214553,37524.9505333862,47882527.7112373
3,Belair-Edison,86.8913642627469,88.6953846153846,85.3239470230283,85.65017261,85.3290243494734,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,35.9053570174823,37.5974292356078,40.6475860075166,37.96124031,34.2339453218952,150987.70363871,176077742.748461
5,Canton,3.95061728395062,2.45983935742972,3.40992422390614,3.939466731,4.05154255978193,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,78.5371651738337,75.6044048774313,78.5224479234054,80.56640625,83.0253993410351,39962.5498346887,71541340.306082
7,Cherry Hill,95.1353328456474,88.9240135815478,88.7899034892353,87.46901339,87.9676322270435,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,68.9659618359979,67.612065857469,68.9120397774358,68.82840237,68.8991806198788,21705.411630324,21022590.1303212
9,Claremont/Armistead,53.0555218077998,57.1051368218915,56.4284108788492,55.71413242,55.5706948957132,40104.4159801772,61243774.4204004
10,Clifton-Berea,96.3034231314563,94.4847260192559,93.8361626979606,93.66406336,93.0483183325438,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,20.3544575725027,19.1352739726027,18.555792257401,19.93347772,21.6175922474841,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,87.8078517434772,80.2704852824185,81.2798203760876,80.59501474,83.8919199792153,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,96.122518241982,93.0691385321881,95.4667112746738,95.95103578,95.1053229612796,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,37.0152032268073,31.2531709791984,29.7760838494521,29.02188887,32.6415910073497,21565.8593945388,20736554.4071934
15,Edmondson Village,96.6962025316456,96.3702147525677,95.9209053600298,95.75980392,96.7200801201802,21504.5513578719,23563061.0426838
16,Fells Point,7.78847217612568,5.38074260541221,5.40599455040872,5.578467549,5.42495479204339,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,94.8725758960301,95.0010986596352,94.4135229849516,95.0571091,93.7052154195011,36886.899781185,37200535.0297002
18,Glen-Fallstaff,63.0280273568459,61.8048329286623,63.1207371066172,63.06396883,63.5967955592001,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,34.7324751387957,32.0367238463397,33.7026945201332,33.44336451,33.6281609877715,26454.2692113378,27051213.4555493
20,Greater Govans,90.8529163935961,89.7138078424085,89.5431083922768,90.01398601,89.9981512294324,22982.1257150065,22698495.7172767
21,Greater Mondawmin,96.1810770220983,94.3558810857389,94.1145559642669,94.00374079,94.2114460463084,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,7.90294157516606,6.86351706036745,6.75640693761325,5.993442623,6.13529805760214,39862.7497953315,56688145.179702
23,Greater Rosemont,96.6145698115167,97.4409826626575,96.6129226326555,96.81231266,97.1993598536808,32559.0762212062,42204384.5422658
24,Greenmount East,95.8333333333333,94.6690937459368,94.1592920353982,93.97682414,93.9978847170809,20797.473457859,19072287.8238042
25,Hamilton,56.4605445316105,62.7715577963965,63.139500297442,61.67604212,60.1466992665036,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,57.943406695025,58.4835630965005,55.8102627402575,52.09433298,55.7634879554051,18552.4075815481,10215859.0840198
27,Harford/Echodale,53.037591305897,54.2073396762634,52.3688877628579,57.18180692,57.1649548323227,40019.1854001864,65360039.1701278
28,Highlandtown,8.88275862068966,8.94787248597619,8.91034482758621,10.55460863,8.03164387235183,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,94.3253931757565,93.7742821946366,93.4605409410893,94.060981,92.7089880578252,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,11.4819136522754,12.8412841284128,13.5724852071006,13.88623151,11.5669386521607,43415.0595477941,24995836.2620936
31,Lauraville,57.9646378228632,55.8095860210664,53.2556995243562,53.94058434,56.2648724050217,34419.6765281197,49665744.2382935
32,Loch Raven,87.5710273659461,90.0296150049358,88.5370858985635,87.02097738,85.5242084513983,29314.3346718106,44147812.3259686
33,Madison/East End,90.2583215524997,88.0899500277624,88.0789022298456,87.89258079,85.3155527988835,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,11.605705083966,10.734301727096,10.6562205466541,10.74268934,9.69641772920461,43152.6256992199,62441489.2397897
35,Midtown,32.1171770972037,29.9594098318407,31.388267462093,30.89949847,30.7247865442639,25020.0969697781,23823949.929494
36,Midway/Coldstream,95.5631753948462,95.0299273193672,92.7176659774868,91.80059036,91.8903988509556,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,17.5814368585453,18.0576824910669,22.2425270852369,22.0569042,26.6224834312867,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,22.6199690402477,25.2434748733931,25.6902761104442,25.42644993,26.5034280117531,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,11.8357764544205,15.9008568635344,17.6776730468976,16.12285151,15.9472217482795,42904.2221443837,74923987.6939622
40,Northwood,88.6438743015081,85.7100713906425,84.5583550535766,84.4943564,82.9258494031221,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,89.492066660014,88.3144857296715,87.6330967169476,87.2176483,86.0627916843445,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,12.1563903186946,14.2509727626459,13.8147566718995,12.55463592,11.7426021606387,47825.8629265765,89894372.2114828
43,Patterson Park North & East,38.0163585126126,34.1690841276419,31.2333810595214,32.18115124,33.631471785922,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,90.3392635498552,84.9848714069591,84.932042632248,83.99091683,84.5388788426763,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,94.3551117129316,95.9952079411261,95.180176091495,95.21241366,94.728652013227,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,82.8548957923712,79.1497152156225,80.6043847521233,81.58874638,79.7687861271676,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,96.6366809881847,96.4299523134425,96.1849010900283,96.07694638,96.3080335921407,20987.1433066415,23672092.8680536
48,South Baltimore,2.66937246331564,2.43764971114555,1.7262471115944,2.295848227,2.35485180673974,68440.0258267645,46353935.42529
49,Southeastern,25.3674121405751,26.9747447608812,33.0808080808081,29.58119517,31.4331983805668,102291.480547452,111251478.472831
50,Southern Park Heights,95.7392351701295,94.2937512557766,93.8308457711443,93.32221578,92.103620474407,24052.2213722085,27876227.5906738
51,Southwest Baltimore,75.7729941291585,74.2253603314466,75.4915849719499,73.5735914,72.7370689655172,28355.5635813649,37766068.8367913
52,The Waverlies,78.7308138784987,75.846587993843,76.1851015801354,71.82928304,73.4643430972685,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,92.4095919551344,93.0493496177142,92.0405774483028,91.63565132,90.7692307692307,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,49.0278030165364,53.6950420954163,60.144376899696,57.65315565,55.6016597510373,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,65.5148194971204,69.7817973011771,69.3782004389173,66.2120089,66.2317245716082,42573.1244161893,45494092.9497963
