CSA2010,teenbir16,hhpov16,phisp16,ppac16
Allendale/Irvington/S. Hilton,45.87155963,21.28264805,1.599515298,0
Beechfield/Ten Hills/West Hills,42.78074866,11.58984636,1.62169818,0.566532115
Belair-Edison,27.02702703,19.59215281,1.360219544,0.686075647
Brooklyn/Curtis Bay/Hawkins Point,89.83451537,26.3337469,12.90835502,1.098583406
Canton,23.25581395,2.260273973,3.165485211,0.415546321
Cedonia/Frankford,23.89078498,15.10777521,2.764480097,0.008625523
Cherry Hill,66.28242075,41.05090312,4.553328384,0.210343974
Chinquapin Park/Belvedere,16.87763713,10.16324381,5.362850716,0
Claremont/Armistead,37.59398496,23.58634743,11.48572713,0.573162508
Clifton-Berea,43.70179949,29.24208145,1.800159508,0.535490486
Cross-Country/Cheswolde,2.2172949,7.147862649,2.145008448,0.301182693
Dickeyville/Franklintown,35.21126761,17.69547325,1.796239124,1.150715689
Dorchester/Ashburton,23.4741784,15.35493827,0.844764135,0.510204082
Downtown/Seton Hill,32.60869565,7.086614173,5.764649833,5.224710179
Edmondson Village,37.03703704,11.05743425,1.479915433,1.23119015
Fells Point,22.22222222,3.791174643,10.57220708,0.326975477
Forest Park/Walbrook,21.27659574,18.94293732,1.443001443,0.103071532
Glen-Fallstaff,17.14285714,20.2957379,5.091540026,0.424793586
Greater Charles Village/Barclay,1.937984496,25.95462092,4.89252195,0.896155011
Greater Govans,21.95121951,19.2692475,2.131523609,0.076467215
Greater Mondawmin,12.52236136,17.17226436,1.177088807,0.472937467
Greater Roland Park/Poplar Hill,0,3.634361233,3.287600311,0.828371732
Greater Rosemont,36.06965174,23.89354932,1.407772831,0.270725544
Greenmount East,44.07713499,24.18006431,2.048040455,0.240202276
Hamilton,23.15789474,10.9202454,1.479773944,0.505651398
Harbor East/Little Italy,28.16901408,31.06134372,10.63304532,0.423205784
Harford/Echodale,19.8019802,8.983384962,3.318976438,0.247023055
Highlandtown,60.34482759,9.009009009,16.06896552,0
Howard Park/West Arlington,8.403361345,17.42254154,0.83364209,0.80585402
Inner Harbor/Federal Hill,10,2.745256358,5.25147929,0.724852071
Lauraville,13.69863014,9.670637701,3.641134984,2.894866328
Loch Raven,41.04477612,11.56113817,1.899736148,0.375256523
Madison/East End,32.91139241,32.37410072,9.4053745,0.6432247
Medfield/Hampden/Woodberry/Remington,7.352941176,7.394156231,4.035108388,0.270970782
Midtown,1.602564103,8.064516129,6.183196619,0.652498136
Midway/Coldstream,46.72897196,23.63737486,1.573627383,0.482425913
Morrell Park/Violetville,19.7044335,14.52879581,8.823913327,0.169690641
Mount Washington/Coldspring,0,3.789836348,3.601440576,0
North Baltimore/Guilford/Homeland,0.780640125,5.725567621,3.377088996,0.58405135
Northwood,8.18452381,7.604448452,3.527367507,0.335939763
Oldtown/Middle East,44.51038576,42.5,1.464063886,0.310559006
Orangeville/East Highlandtown,45.45454545,13.68267831,35.066719,2.394034537
Patterson Park North & East,59.70149254,22.83290299,17.09279335,0.736346901
Penn North/Reservoir Hill,29.41176471,29.42453855,2.845409211,0.674684658
Pimlico/Arlington/Hilltop,63.7254902,19,0.599074158,0.117999455
Poppleton/The Terraces/Hollins Market,35.71428571,47.65458422,2.034366976,0.098755678
Sandtown-Winchester/Harlem Park,34.92063492,31.82289865,0.14129996,1.345713901
South Baltimore,0,0.811907984,4.594263966,0.095147479
Southeastern,38.83495146,29.4488189,23.3044733,0.505050505
Southern Park Heights,39.10614525,34.87052146,2.857142857,0.042643923
Southwest Baltimore,26.14379085,36.01598174,6.454354848,1.031336771
The Waverlies,22.32142857,18.34034877,3.147730123,2.997241033
Upton/Druid Heights,26.31578947,44.15,0.604760047,0.370659384
Washington Village/Pigtown,23.25581395,24.78873239,3.381458967,0
Westport/Mount Winans/Lakeland,61.06870229,19.85018727,4.286759327,0.07315289
