OBJECTID,CSA2010,ppac10,ppac15,ppac16,ppac17,ppac18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,0.456311278288216,0.0435323383084577,0,0,0.103268132669177,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,0.383235485975212,0.434391851408029,0.566532115289285,0.313643492,0.412749369410685,37524.9505333862,47882527.7112373
3,Belair-Edison,0.275608635737253,0.215384615384615,0.686075647297459,0.81127733,0.807934473728199,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,0.709120269606122,1.14863940927116,1.09858340560856,1.310077519,0.889922232021165,150987.70363871,176077742.748461
5,Canton,0.37037037037037,0.238453815261044,0.415546321192862,0.564496757,0.470821459546524,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,0.382052043978435,0.282688494156365,0.00862552292232717,0.067934783,0.112607915919422,39962.5498346887,71541340.306082
7,Cherry Hill,0.292611558156547,0.257581079498888,0.210343974263796,0,0,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,0.644662197008767,0,0,0,0.237501484384277,21705.411630324,21022590.1303212
9,Claremont/Armistead,0.874741829668327,0.57609217474796,0.57316250842886,0.611653611,1.03762708311497,40104.4159801772,61243774.4204004
10,Clifton-Berea,0.253190196475592,0.499227386188042,0.535490486498804,0.06599934,0.106584557081951,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,0.368267607794998,0.749143835616438,0.301182693014031,0.502784653,0.9168840849795,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,0.633991709339186,1.24635375232034,1.1507156890261,0.804073975,0.415692387633151,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,0.415747497030375,0.535759843524109,0.510204081632653,0.3509673,0.463246219736037,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,0.620539869686627,2.67207847116523,5.22471017945053,4.194091535,3.18489695921602,21565.8593945388,20736554.4071934
15,Edmondson Village,0.367088607594937,0.840336134453782,1.2311901504788,0.784313725,0.751126690035052,21504.5513578719,23563061.0426838
16,Fells Point,0.674853412988162,0.440528634361234,0.326975476839237,0.35815064,0.276566322731624,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,0.365519342065184,0.12085255987695,0.10307153164296,0.049231981,0.0453514739229024,36886.899781185,37200535.0297002
18,Glen-Fallstaff,0.657100710741585,1.50884495317378,0.424793586215149,0.785471912,0.422632940137513,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,0.57348544933195,0.948296690021744,0.896155010596427,0.996393423,0.451145672563219,26454.2692113378,27051213.4555493
20,Greater Govans,0.552382735698905,0,0.0764672146817052,0.111888112,0.110926234054353,22982.1257150065,22698495.7172767
21,Greater Mondawmin,0.418365157691483,0.269280482550625,0.47293746715712,0.429090109,0.283966797728265,31136.7318903894,33663448.2791136
