OBJECTID,CSA2010,teenbir10,teenbir11,teenbir12,teenbir13,teenbir14,teenbir15,teenbir16,teenbir17,teenbir18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,55.045871559633,58.1039755351682,45.8715596330275,38.2262996941896,30.5810397553517,33.6391437308869,45.8715596330275,29.0519877675841,30.5810397553517,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,42.7807486631016,21.3903743315508,42.7807486631016,29.4117647058824,18.716577540107,37.4331550802139,42.7807486631016,16.0427807486631,34.7593582887701,37524.9505333862,47882527.7112373
3,Belair-Edison,67.5675675675676,56.7567567567568,58.1081081081081,33.7837837837838,45.945945945946,28.3783783783784,27.027027027027,21.6216216216216,22.972972972973,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,111.111111111111,94.5626477541371,63.8297872340425,52.0094562647754,49.645390070922,54.3735224586288,89.8345153664303,68.5579196217494,70.9219858156028,150987.70363871,176077742.748461
5,Canton,46.5116279069767,23.2558139534884,0,46.5116279069767,0,0,23.2558139534884,0,0,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,48.9192263936291,42.0932878270762,38.6803185437998,45.5062571103527,28.4414106939704,35.2673492605233,23.8907849829352,27.3037542662116,28.4414106939704,39962.5498346887,71541340.306082
7,Cherry Hill,57.6368876080692,60.5187319884726,63.4005763688761,74.9279538904899,63.4005763688761,54.7550432276657,66.2824207492795,25.9365994236311,51.8731988472623,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,50.6329113924051,84.3881856540084,63.2911392405063,16.8776371308017,46.4135021097046,29.535864978903,16.8776371308017,21.0970464135021,21.0970464135021,21705.411630324,21022590.1303212
9,Claremont/Armistead,48.8721804511278,48.8721804511278,45.1127819548872,48.8721804511278,45.1127819548872,48.8721804511278,37.593984962406,33.8345864661654,26.3157894736842,40104.4159801772,61243774.4204004
10,Clifton-Berea,71.9794344473008,61.6966580976864,77.120822622108,51.413881748072,35.9897172236504,35.9897172236504,43.7017994858612,25.706940874036,30.8483290488432,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,0,15.5210643015521,6.65188470066519,11.0864745011086,6.65188470066519,6.65188470066519,2.21729490022173,0,4.43458980044346,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,21.1267605633803,28.169014084507,35.2112676056338,70.4225352112676,28.169014084507,21.1267605633803,35.2112676056338,14.0845070422535,14.0845070422535,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,49.2957746478873,49.2957746478873,35.2112676056338,32.8638497652582,16.4319248826291,25.8215962441315,23.4741784037559,16.4319248826291,11.7370892018779,27136.0757115223,34118277.1815219
